id,prediction
0,1
1,3
2,3
3,1
4,1
5,1
6,1
7,3
8,1
9,3
10,1
11,3
12,3
13,1
14,3
15,1
16,1
17,3
18,1
19,1
20,1
21,1
22,3
23,3
24,1
25,3
26,3
27,3
28,1
29,1
30,3
31,3
32,1
33,3
34,3
35,3
36,3
37,1
38,1
39,1
40,1
41,3
42,1
43,3
44,3
45,1
46,1
47,1
48,1
49,1
50,3
51,1
52,3
53,1
54,1
55,1
56,1
57,1
58,1
59,3
60,1
61,1
62,1
63,3
64,3
65,3
66,1
67,1
68,3
69,3
70,3
71,1
72,1
73,1
74,1
75,1
76,3
77,1
78,3
79,3
80,1
81,3
82,3
83,3
84,1
85,3
86,3
87,3
88,1
89,1
90,3
91,1
92,1
93,3
94,1
95,1
96,3
97,3
98,1
99,1
100,1
101,3
102,1
103,3
104,1
105,1
106,3
107,1
108,3
109,1
110,3
111,3
112,1
113,3
114,1
115,3
116,1
117,1
118,3
119,3
120,3
121,1
122,3
123,1
124,3
125,3
126,3
127,3
128,1
129,1
130,1
131,3
132,3
133,1
134,1
135,3
136,3
137,3
138,1
139,3
140,3
141,3
142,1
143,3
144,3
145,1
146,3
147,3
148,1
149,3
150,1
151,1
152,1
153,3
154,3
155,3
156,3
157,1
158,3
159,3
160,3
161,3
162,1
163,3
164,3
165,1
166,1
167,1
168,3
169,1
170,1
171,3
172,1
173,3
174,3
175,3
176,1
177,3
178,3
179,1
180,1
181,1
182,1
183,3
184,3
185,1
186,3
187,1
188,1
189,1
190,1
191,1
192,3
193,3
194,1
195,3
196,3
197,1
198,1
199,1
200,3
201,3
202,3
203,1
204,3
205,1
206,1
207,1
208,1
209,3
210,3
211,1
212,1
213,3
214,3
215,1
216,3
217,1
218,3
219,3
220,1
221,1
222,3
223,1
224,1
225,1
226,3
227,1
228,3
229,1
230,1
231,1
232,3
233,3
234,1
235,3
236,1
237,1
238,1
239,3
240,3
241,1
242,3
243,3
244,3
245,3
246,1
247,1
248,3
249,1
250,1
251,3
252,3
253,1
254,3
255,1
256,1
257,1
258,1
259,1
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,1
270,3
271,3
272,1
273,1
274,3
275,3
276,1
277,3
278,3
279,3
280,3
281,3
282,1
283,3
284,1
285,1
286,3
287,1
288,1
289,1
290,1
291,3
292,1
293,1
294,3
295,1
296,3
297,1
298,3
299,3
300,1
301,1
302,3
303,3
304,3
305,3
306,3
307,1
308,1
309,3
310,1
311,1
312,1
313,3
314,1
315,1
316,3
317,3
318,1
319,1
320,1
321,3
322,3
323,3
324,1
325,3
326,1
327,1
328,3
329,3
330,3
331,1
332,1
333,1
334,3
335,3
336,1
337,1
338,3
339,1
340,3
341,1
342,3
343,3
344,1
345,3
346,1
347,1
348,1
349,3
350,3
351,1
352,3
353,1
354,1
355,1
356,1
357,3
358,1
359,1
360,1
361,3
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,3
370,1
371,1
372,1
373,1
374,3
375,3
376,3
377,1
378,1
379,1
380,1
381,3
382,1
383,3
384,1
385,3
386,3
387,1
388,3
389,3
390,1
391,1
392,1
393,3
394,1
395,3
396,3
397,3
398,3
399,1
400,3
401,3
402,3
403,1
404,3
405,3
406,3
407,3
408,3
409,3
410,1
411,1
412,1
413,1
414,1
415,1
416,3
417,3
418,3
419,3
420,1
421,3
422,3
423,1
424,3
425,3
426,1
427,1
428,1
429,1
430,3
431,1
432,3
433,1
434,3
435,1
436,1
437,1
438,1
439,1
440,1
441,3
442,1
443,1
444,1
445,1
446,1
447,3
448,3
449,1
450,3
451,1
452,3
453,1
454,1
455,1
456,3
457,3
458,1
459,3
460,1
461,3
462,3
463,3
464,3
465,3
466,1
467,1
468,1
469,1
470,1
471,3
472,1
473,1
474,3
475,3
476,3
477,3
478,1
479,1
480,1
481,1
482,3
483,1
484,1
485,1
486,1
487,3
488,3
489,3
490,1
491,1
492,3
493,1
494,3
495,1
496,3
497,3
498,1
499,3
500,1
501,3
502,3
503,3
504,1
505,1
506,1
507,1
508,3
509,1
510,3
511,1
512,1
513,1
514,1
515,3
516,3
517,1
518,3
519,1
520,3
521,3
522,1
523,3
524,1
525,1
526,3
527,1
528,3
529,3
530,3
531,1
532,1
533,1
534,1
535,3
536,1
537,3
538,3
539,3
540,3
541,1
542,3
543,1
544,1
545,3
546,3
547,3
548,1
549,1
550,1
551,1
552,1
553,1
554,3
555,1
556,1
557,3
558,1
559,3
560,1
561,1
562,3
563,3
564,1
565,1
566,1
567,1
568,3
569,3
570,1
571,1
572,3
573,1
574,3
575,1
576,1
577,1
578,3
579,3
580,1
581,3
582,3
583,1
584,1
585,3
586,3
587,3
588,1
589,1
590,1
591,1
592,3
593,3
594,1
595,3
596,1
597,3
598,1
599,3
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,3
608,1
609,1
610,1
611,1
612,1
613,3
614,1
615,3
616,1
617,1
618,3
619,3
620,1
621,3
622,3
623,3
624,1
625,1
626,3
627,1
628,3
629,1
630,3
631,3
632,3
633,3
634,3
635,1
636,1
637,1
638,1
639,3
640,1
641,3
642,1
643,3
644,1
645,1
646,1
647,1
648,3
649,1
650,3
651,1
652,1
653,3
654,3
655,3
656,1
657,3
658,3
659,3
660,1
661,3
662,3
663,3
664,3
665,1
666,3
667,3
668,1
669,3
670,1
671,3
672,3
673,3
674,1
675,1
676,1
677,3
678,1
679,3
680,1
681,1
682,3
683,3
684,3
685,1
686,1
687,3
688,1
689,3
690,1
691,3
692,3
693,3
694,1
695,3
696,1
697,3
698,1
699,3
700,1
701,3
702,1
703,1
704,3
705,1
706,3
707,3
708,1
709,1
710,3
711,3
712,1
713,3
714,3
715,3
716,1
717,3
718,3
719,1
720,3
721,3
722,1
723,1
724,3
725,1
726,1
727,3
728,3
729,3
730,1
731,1
732,3
733,3
734,3
735,3
736,3
737,3
738,3
739,3
740,1
741,3
742,3
743,3
744,1
745,3
746,3
747,3
748,3
749,3
750,3
751,3
752,3
753,1
754,1
755,3
756,1
757,3
758,1
759,3
760,1
761,3
762,3
763,1
764,3
765,3
766,1
767,1
768,3
769,3
770,1
771,3
772,3
773,1
774,1
775,1
776,3
777,1
778,3
779,1
780,1
781,1
782,1
783,3
784,1
785,1
786,1
787,3
788,3
789,3
790,1
791,3
792,3
793,3
794,1
795,3
796,3
797,3
798,3
799,1
800,3
801,3
802,3
803,1
804,1
805,3
806,1
807,3
808,1
809,1
810,1
811,1
812,3
813,1
814,3
815,3
816,1
817,3
818,3
819,3
820,1
821,1
822,1
823,1
824,1
825,3
826,3
827,1
828,3
829,1
830,3
831,3
832,3
833,1
834,3
835,1
836,1
837,3
838,3
839,3
840,1
841,1
842,3
843,1
844,3
845,1
846,1
847,1
848,1
849,3
850,3
851,1
852,1
853,1
854,3
855,3
856,1
857,3
858,1
859,3
860,3
861,3
862,1
863,3
864,3
865,1
866,1
867,3
868,3
869,1
870,3
871,1
872,3
873,1
874,1
875,1
876,3
877,1
878,3
879,3
880,3
881,3
882,3
883,1
884,3
885,3
886,1
887,1
888,3
889,1
890,3
891,3
892,3
893,1
894,3
895,1
896,3
897,1
898,3
899,3
900,3
901,1
902,3
903,3
904,1
905,1
906,1
907,1
908,3
909,1
910,3
911,1
912,1
913,3
914,1
915,1
916,1
917,1
918,3
919,3
920,3
921,1
922,3
923,1
924,3
925,3
926,3
927,1
928,1
929,3
930,3
931,3
932,3
933,1
934,1
935,1
936,1
937,3
938,3
939,1
940,3
941,1
942,3
943,1
944,1
945,1
946,1
947,1
948,1
949,3
950,3
951,1
952,1
953,3
954,3
955,3
956,3
957,3
958,3
959,1
960,1
961,3
962,1
963,3
964,1
965,1
966,3
967,1
968,3
969,3
970,1
971,3
972,1
973,3
974,1
975,1
976,3
977,3
978,3
979,1
980,1
981,3
982,1
983,1
984,1
985,1
986,3
987,3
988,3
989,3
990,1
991,1
992,1
993,3
994,3
995,1
996,3
997,3
998,1
999,3
1000,3
1001,1
1002,1
1003,1
1004,3
1005,1
1006,1
1007,1
1008,1
1009,3
1010,3
1011,1
1012,1
1013,1
1014,3
1015,1
1016,1
1017,1
1018,3
1019,1
1020,1
1021,3
1022,1
1023,3
1024,3
1025,1
1026,3
1027,1
1028,3
1029,3
1030,1
1031,3
1032,3
1033,1
1034,1
1035,3
1036,3
1037,3
1038,3
1039,1
1040,3
1041,1
1042,3
1043,1
1044,3
1045,3
1046,1
1047,1
1048,3
1049,1
1050,1
1051,1
1052,1
1053,1
1054,3
1055,3
1056,3
1057,3
1058,3
1059,1
1060,3
1061,3
1062,3
1063,1
1064,3
1065,3
1066,1
1067,3
1068,1
1069,3
1070,1
1071,3
1072,3
1073,3
1074,3
1075,1
1076,1
1077,3
1078,1
1079,1
1080,3
1081,3
1082,3
1083,1
1084,1
1085,1
1086,3
1087,1
1088,1
1089,1
1090,1
1091,1
1092,3
1093,3
1094,1
1095,3
1096,3
1097,1
1098,3
1099,1
1100,3
1101,1
1102,3
1103,3
1104,3
1105,3
1106,3
1107,3
1108,3
1109,1
1110,3
1111,3
1112,1
1113,3
1114,3
1115,3
1116,3
1117,3
1118,3
1119,3
1120,3
1121,3
1122,3
1123,3
1124,1
1125,3
1126,1
1127,3
1128,1
1129,1
1130,3
1131,3
1132,1
1133,3
1134,3
1135,3
1136,3
1137,1
1138,3
1139,1
1140,3
1141,3
1142,1
1143,3
1144,3
1145,1
1146,3
1147,3
1148,1
1149,3
1150,3
1151,3
1152,1
1153,1
1154,3
1155,1
1156,3
1157,3
1158,1
1159,1
1160,1
1161,1
1162,3
1163,1
1164,3
1165,3
1166,3
1167,3
1168,3
1169,3
1170,3
1171,1
1172,3
1173,1
1174,3
1175,1
1176,3
1177,3
1178,3
1179,3
1180,1
1181,1
1182,3
1183,1
1184,1
1185,3
1186,1
1187,1
1188,1
1189,3
1190,1
1191,3
1192,1
1193,1
1194,3
1195,1
1196,3
1197,1
1198,3
1199,3
1200,1
1201,3
1202,3
1203,3
1204,1
1205,3
1206,3
1207,3
1208,3
1209,3
1210,1
1211,1
1212,3
1213,1
1214,3
1215,1
1216,3
1217,1
1218,1
1219,3
1220,3
1221,1
1222,3
1223,3
1224,1
1225,3
1226,3
1227,3
1228,3
1229,1
1230,3
1231,3
1232,3
1233,1
1234,3
1235,3
1236,1
1237,3
1238,3
1239,1
1240,3
1241,1
1242,3
1243,1
1244,1
1245,3
1246,3
1247,1
1248,3
1249,3
1250,1
1251,1
1252,3
1253,1
1254,1
1255,3
1256,3
1257,3
